Menu Type,Menu Category,MenuItem,SizeType,PerServingSize,TotalCalories,TotalFatCalories,TotalFats,SaturatedFats,Non-SaturatedFats,TransFats,Cholesterol,Sodium,Carbohydrates,DietaryFiber,Sugar,Protein
Adult,Burrito,Tortilla,Regular,1 ea,320,80,9,0.5,8.5,0,0,600,0,3,0,8
Adult,Taco,Tortilla,Regular,1 ea,80,25,2.5,0,2.5,0,0,160,0,1,0,2
Adult,Toppings,Crispy Corn Tortilla,Regular,1 ea,70,25,3,0.5,2.5,0,0,0,0,1,0,1
Adult,Rice,Cilantro-Lime Brown Rice,Regular,4 oz,210,50,6,1,5,0,0,190,0,2,0,4
Adult,Rice,Cilantro-Lime White Rice,Regular,4 oz,210,35,4,0.5,3.5,0,0,350,0,1,0,4
Adult,Beans,Black Beans,Regular,4 oz,130,15,1.5,0,1.5,0,0,210,2,7,2,8
Adult,Beans,Pinto Beans,Regular,4 oz,130,10,1.5,0,1.5,0,0,210,1,8,1,8
Adult,Veggies,Fajita Vegetables,Regular,2.5 oz,20,0,0,0,0,0,0,150,2,1,2,1
Adult,Protein,Barbacoa,Regular,4 oz,170,60,7,2.5,4.5,0,65,530,0,1,0,24
Adult,Protein,Chicken,Regular,4 oz,180,60,7,3,4,0,125,310,0,0,0,32
Adult,Protein,Carnitas,Regular,4 oz,210,120,12,7,5,0,65,450,0,0,0,23
Adult,Protein,Steak,Regular,4 oz,150,60,6,2.5,3.5,0,80,330,0,1,0,21
Adult,Protein,Sofritas,Regular,4 oz,150,80,10,1.5,8.5,0,0,560,5,3,5,8
Adult,Toppings,Fresh Tomato Salsa,Regular,3.5 oz,25,0,0,0,0,0,0,550,1,1,1,0
Adult,Toppings,Roasted Chili-Corn Salsa,Regular,3.5 oz,80,15,1.5,0,1.5,0,0,330,4,3,4,3
Adult,Toppings,Tomatillo-Green Chili Salsa,Regular,2 fl oz,15,5,0,0,0,0,0,260,2,0,2,0
Adult,Toppings,Tomatillo-Red Chili Salsa,Regular,2 fl oz,30,5,0,0,0,0,0,500,0,1,0,0
Adult,Toppings,Cheese,Regular,1 oz,110,70,8,0,8,0,30,190,0,0,0,6
Adult,Toppings,Sour Cream,Regular,2 oz,110,90,9,5,4,0,40,30,2,0,2,2
Adult,Toppings,Guacomole (Side),Regular,4 oz,230,190,22,7,15,0,0,370,1,6,1,2
Adult,Toppings,Guacomole,Large,8 oz,460,380,44,3.5,40.5,0,0,740,2,12,2,4
Adult,Toppings,Queso Blanco (Entree),Regular,2 oz,120,80,9,7,2,0,30,250,1,0,1,5
Adult,Toppings,Queso Blanco (Side),Regular,4 oz,240,170,18,6,11,1,60,490,2,0,2,10
